Issuer,Class,Cusip,Value,SharesPrnAmount,Type,PutCall,InvestmentDiscretion,SoleVoting,SharedVoting,NonVoting,Ticker,Date
Pactiv Corp,COM,695257105,526,23900,SH,,Other,0,0,23900,02,2005-12-31
Quanex Corp,COM,747620102,705,14100,SH,,Other,0,0,14100,01,2005-12-31
R & B Inc,COM,749124103,758,80000,SH,,Other,0,0,80000,01,2005-12-31
Ralcorp Hldgs Inc New,COM,751028101,758,19000,SH,,Other,0,0,19000,01,2005-12-31
Regis Corp Minn,COM,758932107,1041,27000,SH,,Other,0,0,27000,01,2005-12-31
Reliant Energy Inc,COM,75952B105,4369,423350,SH,,Other,0,0,423350,02,2005-12-31
Renaissance Re Hldgs Ltd,COM,G7496G103,1548,35100,SH,,Other,0,0,35100,02,2005-12-31
Rimage Corp,COM,766721104,420,14500,SH,,Other,0,0,14500,01,2005-12-31
Rofin Sinar Tech,COM,775043102,2134,49100,SH,,Other,0,0,49100,01,2005-12-31
Royal Carribbean,COM,V7780T103,2517,55850,SH,,Other,0,0,55850,02,2005-12-31
St Joe Co,COM,790148100,234,3475,SH,,Other,0,0,3475,02,2005-12-31
Sanderson Farms,COM,800013104,904,29600,SH,,Other,0,0,29600,01,2005-12-31
Sanmina Sci Corp,COM,800907107,116,27150,SH,,Other,0,0,27150,02,2005-12-31
Schulman A,COM,808194104,2206,102500,SH,,Other,0,0,102500,01,2005-12-31
Shire Pharmac Group,ADR,82481R106,787,20300,SH,,Other,0,0,20300,02,2005-12-31
Sovereign Bancorp Inc,COM,845905108,212,9800,SH,,Other,0,0,9800,02,2005-12-31
Standex Intl Corp,COM,854231107,1638,59000,SH,,Other,0,0,59000,01,2005-12-31
Steelcase Inc Cl,A,858155203,422,26650,SH,,Other,0,0,26650,02,2005-12-31
Strattec Sec Corp,COM,863111100,659,16300,SH,,Other,0,0,16300,01,2005-12-31
Tate & Lyle,PLC,876570607,2882,74550,SH,,Other,0,0,74550,02,2005-12-31
Tel Data Sys Inc,COM,879433860,1317,38050,SH,,Other,0,0,38050,02,2005-12-31
Terex Corp New,COM,880779103,431,7250,SH,,Other,0,0,7250,02,2005-12-31
Thomas & Betts Corp,COM,884315102,1993,47500,SH,,Other,0,0,47500,02,2005-12-31
Triad Hosps Inc,COM,89579K109,832,21200,SH,,Other,0,0,21200,02,2005-12-31
Visteon Corp,COM,92839U107,1095,174850,SH,,Other,0,0,174850,02,2005-12-31
Watson Wyatt Hldgs A,COM,942712100,1604,57500,SH,,Other,0,0,57500,01,2005-12-31
ABB LTD,ADR,000375204,183,24850,SH,,Other,0,0,24850,02,2005-09-30
Adv Semiconductor,ADR,00756M404,697,205750,SH,,Other,0,0,205750,02,2005-09-30
AU Optronics Corp ADR 002255107 1354 104487 SH,OTHER,,,,,,,0,0,104487,02,2005-09-30
Agere Sys A,COM,00845V100,1056,101425,SH,,Other,0,0,101425,02,2005-09-30
Agilent Technologies,COM,00846U101,855,26100,SH,,Other,0,0,26100,02,2005-09-30
Amerisourcebergen,COM,03073E105,1051,13600,SH,,Other,0,0,13600,02,2005-09-30
Amern Woodmark Corp,COM,030506109,1512,45000,SH,,Other,0,0,45000,01,2005-09-30
AMR Corp,COM,001765106,615,55000,SH,,Other,0,0,55000,02,2005-09-30
Annaly Mtg Mgmt Inc,COM,035710409,1667,128750,SH,,Other,0,0,128750,02,2005-09-30
AON Corp,COM,037389103,1954,60900,SH,,Other,0,0,60900,02,2005-09-30
AR Best Corp,COM,040790107,1465,42000,SH,,Other,0,0,42000,01,2005-09-30
Arden Group A,COM,039762109,1106,14700,SH,,Other,0,0,14700,01,2005-09-30
Atheros Communications Inc,COM,04743P108,1112,113972,SH,,Sole,113972,0,0,,2005-09-30
Avnet Inc,COM,053807103,2222,90875,SH,,Other,0,0,90875,02,2005-09-30
Bandag Inc Cl A,COM,059815308,1985,53500,SH,,Other,0,0,53500,01,2005-09-30
Banta Corp,COM,066821109,2840,55800,SH,,Other,0,0,55800,01,2005-09-30
Bearingpoint Inc,COM,074002106,1210,159450,SH,,Other,0,0,159450,02,2005-09-30
Bio Rad Labs Cl A,COM,090572207,2337,42500,SH,,Other,0,0,42500,01,2005-09-30
BJS WHSL Club Inc,COM,05548J106,1195,43000,SH,,Other,0,0,43000,01,2005-09-30
Bombardier Inc Cl B,COM,097751200,877,355900,SH,,Other,0,0,355900,02,2005-09-30
Borders Group Inc,COM,099709107,2060,92900,SH,,Other,0,0,92900,01,2005-09-30
Bowater Inc,COM,102183100,278,9825,SH,,Other,0,0,9825,02,2005-09-30
Bowl AMER Inc Cl A,COM,102565108,382,27500,SH,,Other,0,0,27500,01,2005-09-30
Brigg & Stratton Corp,COM,109043109,1211,35000,SH,,Other,0,0,35000,01,2005-09-30
Calcol Inc COM 128699105 8,,,,35000,SH,,Sole,35000,0,0,,2005-09-30
Cameco Corp,COM,13321L108,1132,21150,SH,,Other,0,0,21150,02,2005-09-30
Carlisle Companies INc,COM,142339100,725,11400,SH,,Other,0,0,11400,01,2005-09-30
Cascade Corp,COM,147195101,2011,41300,SH,,Other,0,0,41300,01,2005-09-30
CEC Entmt Inc,COM,125137109,1239,39000,SH,,Other,0,0,39000,01,2005-09-30
Celestica SUB VTG,COM,15101Q108,879,77700,SH,,Other,0,0,77700,02,2005-09-30
Claires Stores,COM,179584107,2256,93500,SH,,Other,0,0,93500,01,2005-09-30
Convergys Corp,COM,212485106,948,65975,SH,,Other,0,0,65975,02,2005-09-30
CSS Inds Inc,COM,125906107,1951,60000,SH,,Other,0,0,60000,01,2005-09-30
CSX Corp,COM,126408103,2459,52900,SH,,Other,0,0,52900,02,2005-09-30
Cytek Inc,COM,232820100,1019,23500,SH,,Other,0,0,23500,02,2005-09-30
Dean Foods Co,COM,242370104,1084,27900,SH,,Other,0,0,27900,02,2005-09-30
Deb Shops Inc,COM,242728103,1141,52500,SH,,Other,0,0,52500,01,2005-09-30
DeVRY Inc Del,COM,251893103,6054,317796,SH,,Sole,317796,0,0,,2005-09-30
Domtar Inc,COM,257561100,516,80350,SH,,Other,0,0,80350,02,2005-09-30
Escalade Inc,COM,296056104,563,42500,SH,,Other,0,0,42500,01,2005-09-30
Ethan Allen Int,COM,297602104,1238,39500,SH,,Other,0,0,39500,01,2005-09-30
Footlocker Inc,COM,344849104,494,22500,SH,,Other,0,0,22500,02,2005-09-30
Forest Cy Ent Inc,,345550107,945,24800,SH,,Other,0,0,24800,02,2005-09-30
Frischs Rstaurnts Inc,COM,358748101,749,31000,SH,,Other,0,0,31000,01,2005-09-30
Genlyte Group Inc,COM,372302109,1442,30000,SH,,Other,0,0,30000,01,2005-09-30
Genworth Finl Inc Cl,A,37247D106,1639,50850,SH,,Other,0,0,50850,02,2005-09-30
Global Imaging SYS Inc,COM,37934A100,1168,34300,SH,,Other,0,0,34300,01,2005-09-30
Goodrich Corp,COM,382388106,2751,62050,SH,,Other,0,0,62050,02,2005-09-30
Gtech Hldgs Corp,COM,400518106,462,14400,SH,,Other,0,0,14400,02,2005-09-30
Hampshire Group LTD,COM,408859106,1874,79400,SH,,Other,0,0,79400,01,2005-09-30
Highwoods PPTYS Inc,COM,431284108,2256,76450,SH,,Other,0,0,76450,02,2005-09-30
HILB Rogal & Hobbs,COM,431294107,1429,38300,SH,,Other,0,0,38300,01,2005-09-30
Hooker Furniture,COM,439038100,1396,84000,SH,,Other,0,0,84000,01,2005-09-30
Host Marriott Corp,COM,44107P104,3591,212500,SH,,Other,0,0,212500,02,2005-09-30
Hudson Cy Bancorp Inc,COM,443683107,378,31750,SH,,Other,0,0,31750,02,2005-09-30
Hughes Sup Inc,COM,444482103,970,29750,SH,,Other,0,0,29750,02,2005-09-30
Jack In Box Inc,COM,466367109,748,25000,SH,,Other,0,0,25000,01,2005-09-30
Jones Lang Lasalle,COM,48020Q107,903,19600,SH,,Other,0,0,19600,02,2005-09-30
Juniper Networks Inc,COM,48203R104,485,20386,SH,,Sole,20386,0,0,,2005-09-30
Kennametal Inc,CAP,489170100,490,10000,SH,,Other,0,0,10000,01,2005-09-30
K Swiss Inc,A,482686102,1079,36500,SH,,Other,0,0,36500,01,2005-09-30
Lakeland Inds,COM,511795106,345,19500,SH,,Other,0,0,19500,01,2005-09-30
Lancaster Colony,COM,513847103,2473,57500,SH,,Other,0,0,57500,01,2005-09-30
Lawson Prods Inc,COM,520776105,1748,47609,SH,,Other,0,0,47609,01,2005-09-30
Lear Corp,COM,521865105,1077,31700,SH,,Other,0,0,31700,02,2005-09-30
Liberty Global CL A,COM,530555101,1412,52150,SH,,Other,0,0,52150,02,2005-09-30
Liberty Global CL C,COM,530555309,1343,52150,SH,,Other,0,0,52150,02,2005-09-30
Lubrizol Corp,COM,549271104,2205,50900,SH,,Other,0,0,50900,01,2005-09-30
Lyondell Chem,COM,552078107,1608,56200,SH,,Other,0,0,56200,02,2005-09-30
Macdermid Inc,COM,554273102,1300,49500,SH,,Other,0,0,49500,01,2005-09-30
Met Pro Corp,COM,590876306,993,64000,SH,,Other,0,0,64000,01,2005-09-30
Mity Enterprises Inc,COM,606850105,478,28000,SH,,Other,0,0,28000,01,2005-09-30
Mosaic Co,COM,61945A107,2344,146300,SH,,Other,0,0,146300,02,2005-09-30
Movado Group Inc,COM,624580106,238,12700,SH,,Other,0,0,12700,01,2005-09-30
N Fork Bancorp Inc,COM,659424105,1396,54750,SH,,Other,0,0,54750,02,2005-09-30
Natl Beverage Corp,COM,635017106,807,104000,SH,,Other,0,0,104000,01,2005-09-30
Natl Dentex Corp,COM,63563H109,1653,80250,SH,,Other,0,0,80250,01,2005-09-30
Natl Presto INDS Inc,COM,637215104,2355,55000,SH,,Other,0,0,55000,01,2005-09-30
Navistar Intl,COM,63934E108,2697,83150,SH,,Other,0,0,83150,02,2005-09-30
NCI Bldg Sys Inc,COM,628852105,510,12500,SH,,Other,0,0,12500,01,2005-09-30
Neiman-Marcus Group A,COM,640204202,390,3900,SH,,Other,0,0,3900,01,2005-09-30
Newell Rubbermaid,COM,651229106,696,30750,SH,,Other,0,0,30750,02,2005-09-30
Nordson Corp,COM,655663102,513,13500,SH,,Other,0,0,13500,01,2005-09-30
NRG Energy Inc,COM,629377508,1935,45425,SH,,Other,0,0,45425,02,2005-09-30
On Semiconductor,COM,682189105,480,92750,SH,,Other,0,0,92750,02,2005-09-30
Owens & Minor Inc,COM,690732102,379,12900,SH,,Other,0,0,12900,01,2005-09-30
Pactiv Corp,COM,695257105,419,23900,SH,,Other,0,0,23900,02,2005-09-30
Penney J C Co,COM,708160106,1311,27650,SH,,Other,0,0,27650,02,2005-09-30
Quanex Corp,COM,747620102,464,7000,SH,,Other,0,0,7000,01,2005-09-30
R & B Inc,COM,749124103,820,80000,SH,,Other,0,0,80000,01,2005-09-30
Ralcorp Hldgs Inc New,COM,751028101,440,10500,SH,,Other,0,0,10500,01,2005-09-30
Regis Corp Minn,COM,758932107,946,25000,SH,,Other,0,0,25000,01,2005-09-30
Reliant Energy Inc,COM,75952B105,4576,296350,SH,,Other,0,0,296350,02,2005-09-30
Renaissance Re Hldgs Ltd,COM,G7496G103,949,21700,SH,,Other,0,0,21700,02,2005-09-30
Rimage Corp,COM,766721104,509,19100,SH,,Other,0,0,19100,01,2005-09-30
Rofin Sinar Tech,COM,775043102,2055,54100,SH,,Other,0,0,54100,01,2005-09-30
Royal Carribbean,COM,V7780T103,2363,54700,SH,,Other,0,0,54700,02,2005-09-30
St Joe Co,COM,790148100,217,3475,SH,,Other,0,0,3475,02,2005-09-30
Sanderson Farms,COM,800013104,1784,48000,SH,,Other,0,0,48000,01,2005-09-30
Sanmina Sci Corp,COM,800907107,985,229650,SH,,Other,0,0,229650,02,2005-09-30
Schulman A,COM,808194104,1840,102500,SH,,Other,0,0,102500,01,2005-09-30
Schweitz Mauduit Intl,COM,808541106,725,32500,SH,,Other,0,0,32500,01,2005-09-30
Senomyx Inc,COM,81724Q107,255,15000,SH,,Sole,15000,0,0,,2005-09-30
Shire Pharmac Group,ADR,82481R106,797,21550,SH,,Other,0,0,21550,02,2005-09-30
Standex Intl Corp,COM,854231107,1282,48700,SH,,Other,0,0,48700,01,2005-09-30
Steelcase Inc Cl,A,858155203,468,32350,SH,,Other,0,0,32350,02,2005-09-30
Strattec Sec Corp,COM,863111100,845,16300,SH,,Other,0,0,16300,01,2005-09-30
Tate & Lyle,PLC,876570607,2708,84250,SH,,Other,0,0,84250,02,2005-09-30
Tektronix Inc,COM,879131100,383,15200,SH,,Other,0,0,15200,01,2005-09-30
Tel Data Sys Inc,COM,879433860,1429,38050,SH,,Other,0,0,38050,02,2005-09-30
Teradyne Inc,COM,880770102,506,30675,SH,,Other,0,0,30675,02,2005-09-30
Tercica Inc,COM,88078L105,195,17271,SH,,Sole,17271,0,0,,2005-09-30
Terex Corp New,COM,880779103,353,7150,SH,,Other,0,0,7150,02,2005-09-30
Thomas & Betts Corp,COM,884315102,1634,47500,SH,,Other,0,0,47500,02,2005-09-30
Triad Hosps Inc,COM,89579K109,910,20100,SH,,Other,0,0,20100,02,2005-09-30
UNVL Corp VA,COM,913456109,753,19400,SH,,Other,0,0,19400,01,2005-09-30
Visteon Corp,COM,92839U107,1710,174850,SH,,Other,0,0,174850,02,2005-09-30
Watson Wyatt Hldgs A,COM,942712100,1579,58600,SH,,Other,0,0,58600,01,2005-09-30
Werner Enterprises Inc,COM,950755108,218,12625,SH,,Other,0,0,12625,02,2005-09-30
York Intl Corp,COM,986670107,3450,61525,SH,,Other,0,0,61525,02,2005-09-30
ABB LTD,ADR,000375204,146,22600,SH,,Other,0,0,22600,02,2005-06-30
Adv Semiconductor,ADR,00756M404,707,191200,SH,,Other,0,0,191200,02,2005-06-30
AU Optronics Corp ADR 002255107 588 34700 SH,OTHER,,,,,,,0,0,34700,02,2005-06-30
Agere Sys A,COM,00845V100,591,49275,SH,,Other,0,0,49275,02,2005-06-30
Agilent Technologies,COM,00846U101,844,36650,SH,,Other,0,0,36650,02,2005-06-30
Amerisourcebergen,COM,03073E105,1020,14750,SH,,Other,0,0,14750,02,2005-06-30
Amern Woodmark Corp,COM,030506109,1350,45000,SH,,Other,0,0,45000,01,2005-06-30
AON Corp,COM,037389103,1557,62200,SH,,Other,0,0,62200,02,2005-06-30
AR Best Corp,COM,040790107,1352,42500,SH,,Other,0,0,42500,01,2005-06-30
Arden Group A,COM,039762109,1165,14700,SH,,Other,0,0,14700,01,2005-06-30
Avnet Inc,COM,053807103,2047,90875,SH,,Other,0,0,90875,02,2005-06-30
Bandag Inc Cl A,COM,059815308,2086,51500,SH,,Other,0,0,51500,01,2005-06-30
Banta Corp,COM,066821109,2722,60000,SH,,Other,0,0,60000,01,2005-06-30
Bearingpoint Inc,COM,074002106,1169,159450,SH,,Other,0,0,159450,02,2005-06-30
Bio Rad Labs Cl B,COM,090572207,2072,35000,SH,,Other,0,0,35000,01,2005-06-30
BJS WHSL Club Inc,COM,05548J106,1527,47000,SH,,Other,0,0,47000,01,2005-06-30
Bombardier Inc Cl B,COM,097751200,803,373450,SH,,Other,0,0,373450,02,2005-06-30
Borders Group Inc,COM,099709107,2404,95000,SH,,Other,0,0,95000,01,2005-06-30
Bowater Inc,COM,102183100,281,8675,SH,,Other,0,0,8675,02,2005-06-30
Bowl AMER Inc Cl A,COM,102565108,384,27500,SH,,Other,0,0,27500,01,2005-06-30
Brigg & Stratton Corp,COM,109043109,1610,46500,SH,,Other,0,0,46500,01,2005-06-30
Cameco Corp,COM,13321L108,1141,25500,SH,,Other,0,0,25500,02,2005-06-30
Cascade Corp,COM,147195101,1946,45000,SH,,Other,0,0,45000,01,2005-06-30
Cato Corp Cl A,COM,149205106,393,19050,SH,,Other,0,0,19050,01,2005-06-30
CEC Entmt Inc,COM,125137109,1136,27000,SH,,Other,0,0,27000,01,2005-06-30
Celestica SUB VTG,COM,15101Q108,1041,77700,SH,,Other,0,0,77700,02,2005-06-30
Claires Stores,COM,179584107,1267,52700,SH,,Other,0,0,52700,01,2005-06-30
Convergys Corp,COM,212485106,922,64825,SH,,Other,0,0,64825,02,2005-06-30
CSS Inds Inc,COM,125906107,1946,57500,SH,,Other,0,0,57500,01,2005-06-30
CSX Corp,COM,126408103,2257,52900,SH,,Other,0,0,52900,02,2005-06-30
Dean Foods Co,COM,242370104,1236,30200,SH,,Other,0,0,30200,02,2005-06-30
Deb Shops Inc,COM,242728103,1506,52000,SH,,Other,0,0,52000,01,2005-06-30
DeVRY Inc Del,COM,251893103,6358,319511,SH,,Sole,319511,0,0,,2005-06-30
Domtar Inc,COM,257561100,677,91550,SH,,Other,0,0,91550,02,2005-06-30
Escalade Inc,COM,296056104,539,39000,SH,,Other,0,0,39000,01,2005-06-30
Ethan Allen Int,COM,297602104,938,28000,SH,,Other,0,0,28000,01,2005-06-30
Footlocker Inc,COM,344849104,464,17050,SH,,Other,0,0,17050,02,2005-06-30
Forest Cy Ent Inc,,345550107,919,12950,SH,,Other,0,0,12950,02,2005-06-30
Frprt Mcmrn C & G Cl B,COM,35671D857,500,13350,SH,,Other,0,0,13350,02,2005-06-30
Frischs Rstaurnts Inc,COM,358748101,775,31000,SH,,Other,0,0,31000,01,2005-06-30
Genlyte Group Inc,COM,372302109,1487,30500,SH,,Other,0,0,30500,01,2005-06-30
Genworth Finl Inc Cl,A,37247D106,1460,48300,SH,,Other,0,0,48300,02,2005-06-30
Global Imaging SYS Inc,COM,37934A100,749,23500,SH,,Other,0,0,23500,01,2005-06-30
Goodrich Corp,COM,382388106,2587,63150,SH,,Other,0,0,63150,02,2005-06-30
Gtech Hldgs Corp,COM,400518106,323,11050,SH,,Other,0,0,11050,02,2005-06-30
Hampshire Group LTD,COM,408859106,1557,79400,SH,,Other,0,0,79400,01,2005-06-30
Highwoods PPTYS Inc,COM,431284108,2257,75850,SH,,Other,0,0,75850,02,2005-06-30
HILB Rogal & Hobbs,COM,431294107,1125,32700,SH,,Other,0,0,32700,01,2005-06-30
Hooker Furniture,COM,439038100,1467,84000,SH,,Other,0,0,84000,01,2005-06-30
Host Marriott Corp,COM,44107P104,3718,212450,SH,,Other,0,0,212450,02,2005-06-30
Hudson Cy Bancorp Inc,COM,443683107,362,31750,SH,,Other,0,0,31750,02,2005-06-30
Hughes Sup Inc,COM,444482103,691,24600,SH,,Other,0,0,24600,02,2005-06-30
Interpublic Group,COM,460690100,280,22950,SH,,Other,0,0,22950,02,2005-06-30
Jack In Box Inc,COM,466367109,906,23900,SH,,Other,0,0,23900,01,2005-06-30
Jo Ann Stores Inc,,47758P307,903,34200,SH,,Other,0,0,34200,01,2005-06-30
Jones Lang Lasalle,COM,48020Q107,586,13250,SH,,Other,0,0,13250,02,2005-06-30
Kellwood Co,COM,488044108,1197,44500,SH,,Other,0,0,44500,01,2005-06-30
K Swiss Inc,A,482686102,1378,42600,SH,,Other,0,0,42600,01,2005-06-30
Lakeland Inds,COM,511795106,267,19500,SH,,Other,0,0,19500,01,2005-06-30
Lancaster Colony,COM,513847103,2361,55000,SH,,Other,0,0,55000,01,2005-06-30
Lawson Prods Inc,COM,520776105,1689,43500,SH,,Other,0,0,43500,01,2005-06-30
Liberty Global CL A,COM,530555101,2441,52300,SH,,Other,0,0,52300,02,2005-06-30
Lubrizol Corp,COM,549271104,2311,55000,SH,,Other,0,0,55000,01,2005-06-30
Lyondell Chem,COM,552078107,1514,57300,SH,,Other,0,0,57300,02,2005-06-30
Macdermid Inc,COM,554273102,717,23000,SH,,Other,0,0,23000,01,2005-06-30
Met Pro Corp,COM,590876306,796,52500,SH,,Other,0,0,52500,01,2005-06-30
Mity Enterprises Inc,COM,606850105,434,28000,SH,,Other,0,0,28000,01,2005-06-30
Mosaic Co,COM,61945A107,2995,192500,SH,,Other,0,0,192500,02,2005-06-30
Movado Group Inc,COM,624580106,481,25500,SH,,Other,0,0,25500,01,2005-06-30
N Fork Bancorp Inc,COM,659424105,487,17350,SH,,Other,0,0,17350,02,2005-06-30
Natl Beverage Corp,COM,635017106,918,115000,SH,,Other,0,0,115000,01,2005-06-30
Natl Dentex Corp,COM,63563H109,1450,80250,SH,,Other,0,0,80250,01,2005-06-30
Natl Presto INDS Inc,COM,637215104,2115,48000,SH,,Other,0,0,48000,01,2005-06-30
Navistar Intl,COM,63934E108,2416,75500,SH,,Other,0,0,75500,02,2005-06-30
NCI Bldg Sys Inc,COM,628852105,361,11000,SH,,Other,0,0,11000,01,2005-06-30
Neiman-Marcus Group A,COM,640204202,969,10000,SH,,Other,0,0,10000,01,2005-06-30
Newell Rubbermaid,COM,651229106,738,30950,SH,,Other,0,0,30950,02,2005-06-30
Nordson Corp,COM,655663102,463,13500,SH,,Other,0,0,13500,01,2005-06-30
NRG Energy Inc,COM,629377508,1834,48775,SH,,Other,0,0,48775,02,2005-06-30
On Semiconductor,COM,682189105,429,93300,SH,,Other,0,0,93300,02,2005-06-30
Owens & Minor Inc,COM,690732102,550,17000,SH,,Other,0,0,17000,01,2005-06-30
Pactiv Corp,COM,695257105,489,22650,SH,,Other,0,0,22650,02,2005-06-30
Penney J C Co,COM,708160106,1764,33550,SH,,Other,0,0,33550,02,2005-06-30
Premcor Inc,COM,74045Q104,836,11275,SH,,Other,0,0,11275,02,2005-06-30
Quanex Corp,COM,747620102,339,6400,SH,,Other,0,0,6400,01,2005-06-30
R & B Inc,COM,749124103,983,70000,SH,,Other,0,0,70000,01,2005-06-30
Regis Corp Minn,COM,758932107,977,25000,SH,,Other,0,0,25000,01,2005-06-30
Reliant Energy Inc,COM,75952B105,3697,298600,SH,,Other,0,0,298600,02,2005-06-30
Rimage Corp,COM,766721104,405,19100,SH,,Other,0,0,19100,01,2005-06-30
Rofin Sinar Tech,COM,775043102,1509,46000,SH,,Other,0,0,46000,01,2005-06-30
Royal Carribbean,COM,V7780T103,2522,52150,SH,,Other,0,0,52150,02,2005-06-30
St Joe Co,COM,790148100,736,9025,SH,,Other,0,0,9025,02,2005-06-30
S W Airl Co,COM,844741108,765,54900,SH,,Other,0,0,54900,02,2005-06-30
Sanderson Farms,COM,800013104,2045,45000,SH,,Other,0,0,45000,01,2005-06-30
Sanmina Sci Corp,COM,800907107,1240,226700,SH,,Other,0,0,226700,02,2005-06-30
Schulman A,COM,808194104,1834,102500,SH,,Other,0,0,102500,01,2005-06-30
Schweitz Mauduit Intl,COM,808541106,1790,57500,SH,,Other,0,0,57500,01,2005-06-30
Shire Pharmac Group,ADR,82481R106,682,20800,SH,,Other,0,0,20800,02,2005-06-30
Standex Intl Corp,COM,854231107,1097,38600,SH,,Other,0,0,38600,01,2005-06-30
Steelcase Inc Cl,A,858155203,464,33500,SH,,Other,0,0,33500,02,2005-06-30
Strattec Sec Corp,COM,863111100,888,16300,SH,,Other,0,0,16300,01,2005-06-30
Superior Inds Intl Inc,COM,868168105,569,24000,SH,,Other,0,0,24000,01,2005-06-30
Tate & Lyle,PLC,876570607,2895,84650,SH,,Other,0,0,84650,02,2005-06-30
Tektronix Inc,COM,879131100,656,28200,SH,,Other,0,0,28200,01,2005-06-30
Tel Data Sys Inc,COM,879433860,1459,38050,SH,,Other,0,0,38050,02,2005-06-30
Teradyne Inc,COM,880770102,593,49575,SH,,Other,0,0,49575,02,2005-06-30
Thomas & Betts Corp,COM,884315102,1018,36050,SH,,Other,0,0,36050,02,2005-06-30
Toys R Us Inc,COM,892335100,222,8400,SH,,Other,0,0,8400,02,2005-06-30
Triad Hosps Inc,COM,89579K109,921,16850,SH,,Other,0,0,16850,02,2005-06-30
UNVL Corp VA,COM,913456109,1379,31500,SH,,Other,0,0,31500,01,2005-06-30
Visteon Corp,COM,92839U107,1054,174850,SH,,Other,0,0,174850,02,2005-06-30
Watson Wyatt Hldgs A,COM,942712100,1282,50000,SH,,Other,0,0,50000,01,2005-06-30
Werner Enterprises Inc,COM,950755108,647,32925,SH,,Other,0,0,32925,02,2005-06-30
Yankee Candle Co,COM,984757104,353,11000,SH,,Other,0,0,11000,01,2005-06-30
York Intl Corp,COM,986670107,2338,61525,SH,,Other,0,0,61525,02,2005-06-30
ABB LTD,ADR,000375204,140,22600,SH,,Other,0,0,22600,02,2005-03-31
Adv Semiconductor,ADR,00756M404,588,164250,SH,,Other,0,0,164250,02,2005-03-31
Agere Sys A,COM,00845V100,654,457452,SH,,Other,0,0,457452,02,2005-03-31
Agilent Technologies,COM,00846U101,780,35150,SH,,Other,0,0,35150,02,2005-03-31
Amerisourcebergen,COM,03073E105,845,14750,SH,,Other,0,0,14750,02,2005-03-31
Amern Woodmark Corp,COM,030506109,1473,40600,SH,,Other,0,0,40600,01,2005-03-31
AON Corp,COM,037389103,1421,62200,SH,,Other,0,0,62200,02,2005-03-31
AR Best Corp,COM,040790107,1247,33000,SH,,Other,0,0,33000,01,2005-03-31
Archer Daniels Mid,COM,039483102,295,12000,SH,,Other,0,0,12000,02,2005-03-31
Arden Group A,COM,039762109,1043,14700,SH,,Other,0,0,14700,01,2005-03-31
Avnet Inc,COM,053807103,1622,88075,SH,,Other,0,0,88075,02,2005-03-31
Bandag Inc Cl A,COM,059815308,2121,50000,SH,,Other,0,0,50000,01,2005-03-31
Banta Corp,COM,066821109,2482,58000,SH,,Other,0,0,58000,01,2005-03-31
Bearingpoint Inc,COM,074002106,1353,154250,SH,,Other,0,0,154250,02,2005-03-31
Bio Rad Labs Cl B,COM,090572207,1607,33000,,,,0,0,33000,01,2005-03-31
BJS WHSL Club Inc,COM,05548J106,1553,50000,SH,,Other,0,0,50000,01,2005-03-31
Bob Evans Farms Inc,COM,096761101,884,37700,SH,,Other,0,0,37700,01,2005-03-31
Bombardier Inc Cl A,COM,097751200,808,359250,SH,,Other,0,0,359250,02,2005-03-31
Borders Group Inc,COM,099709107,2462,92500,SH,,Other,0,0,92500,01,2005-03-31
Bowater Inc,COM,102183100,451,11975,SH,,Other,0,0,11975,02,2005-03-31
Bowl AMER Inc Cl A,COM,102565108,388,27500,SH,,Other,0,0,27500,01,2005-03-31
Briggs & Stratton Corp,COM,109043109,1602,44000,SH,,Other,0,0,44000,01,2005-03-31
Brunswick Corp,COM,117043109,383,8175,SH,,Other,0,0,8175,02,2005-03-31
Cameco Corp,COM,13321L108,1509,34100,SH,,Other,0,0,34100,02,2005-03-31
Cascade Corp,COM,147195101,1733,49500,SH,,Other,0,0,49500,01,2005-03-31
Cato Corp Cl A,COM,149205106,735,22800,SH,,Other,0,0,22800,01,2005-03-31
CEC Entmt Inc,COM,125137109,988,27000,SH,,Other,0,0,27000,01,2005-03-31
Celestica SUB VTG,COM,15101Q108,948,70200,SH,,Other,0,0,70200,02,2005-03-31
CIT Group Inc,COM,125581108,438,11525,SH,,Other,0,0,11525,02,2005-03-31
Claires Stores,COM,179584107,493,21400,SH,,Other,0,0,21400,01,2005-03-31
Convergys Corp,COM,212485106,899,60225,SH,,Other,0,0,60225,02,2005-03-31
CSS INDS Inc,COM,125906107,2032,55600,SH,,Other,0,0,55600,01,2005-03-31
CSX Corp,COM,126408103,2114,50750,SH,,Other,0,0,50750,02,2005-03-31
Dean Foods Co,COM,242370104,281,8200,SH,,Other,0,0,8200,02,2005-03-31
Deb Shops Inc,COM,242728103,1419,50300,SH,,Other,0,0,50300,01,2005-03-31
DeVRY Inc Del,COM,251893103,6076,321141,SH,,Sole,321141,0,0,,2005-03-31
Domtar Inc,COM,257561100,775,91550,SH,,Other,0,0,91550,02,2005-03-31
Dress Barn Inc,COM,261570105,1367,75000,SH,,Other,0,0,75000,01,2005-03-31
Electr Data Sys,COM,285661104,597,28875,SH,,Other,0,0,28875,02,2005-03-31
Escalade Inc,COM,296056104,457,33500,SH,,Other,0,0,33500,01,2005-03-31
Ethan Allen Int,COM,297602104,864,27000,SH,,Other,0,0,27000,01,2005-03-31
